"cluster","GO_ID","overlap","query_size","term_size","background_size","p_value","p_adj","GO_term","minus_log10_p"
"C6","GO:0046521",1,768,2,13936,0.10718486725106,0.2702589867116,"GO:0046521",0.969866525587963
"C6","GO:0048481",1,768,2,13936,0.10718486725106,0.2702589867116,"GO:0048481",0.969866525587963
"C6","GO:0048832",1,768,2,13936,0.10718486725106,0.2702589867116,"GO:0048832",0.969866525587963
"C6","GO:0051211",1,768,2,13936,0.10718486725106,0.2702589867116,"GO:0051211",0.969866525587963
"C6","GO:0070476",1,768,2,13936,0.10718486725106,0.2702589867116,"GO:0070476",0.969866525587963
"C6","GO:0080153",1,768,2,13936,0.10718486725106,0.2702589867116,"GO:0080153",0.969866525587963
"C6","GO:0080186",1,768,2,13936,0.10718486725106,0.2702589867116,"GO:0080186",0.969866525587963
"C6","GO:2000280",1,768,2,13936,0.10718486725106,0.2702589867116,"GO:2000280",0.969866525587963
"C6","GO:0006629",8,768,88,13936,0.111438587705525,0.278991641560641,"GO:0006629",0.952964400492777
"C6","GO:0009809",2,768,11,13936,0.119999427456748,0.294165263140501,"GO:0009809",0.920820826060442
"C6","GO:0030433",2,768,11,13936,0.119999427456748,0.294165263140501,"GO:0030433",0.920820826060442
"C6","GO:0045454",2,768,11,13936,0.119999427456748,0.294165263140501,"GO:0045454",0.920820826060442
"C6","GO:0009058",3,768,24,13936,0.143358214413422,0.317282366734759,"GO:0009058",0.843577416967855
"C6","GO:0000719",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0000719",0.805779520657471
"C6","GO:0006007",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0006007",0.805779520657471
"C6","GO:0006011",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0006011",0.805779520657471
"C6","GO:0006536",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0006536",0.805779520657471
"C6","GO:0009052",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0009052",0.805779520657471
"C6","GO:0009073",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0009073",0.805779520657471
"C6","GO:0009298",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0009298",0.805779520657471
"C6","GO:0009416",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0009416",0.805779520657471
"C6","GO:0009553",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0009553",0.805779520657471
"C6","GO:0009554",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0009554",0.805779520657471
"C6","GO:0009610",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0009610",0.805779520657471
"C6","GO:0009819",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0009819",0.805779520657471
"C6","GO:0015770",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0015770",0.805779520657471
"C6","GO:0016559",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0016559",0.805779520657471
"C6","GO:0019290",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0019290",0.805779520657471
"C6","GO:0019521",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0019521",0.805779520657471
"C6","GO:0030091",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0030091",0.805779520657471
"C6","GO:0031468",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0031468",0.805779520657471
"C6","GO:0032366",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0032366",0.805779520657471
"C6","GO:0034051",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0034051",0.805779520657471
"C6","GO:0034337",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0034337",0.805779520657471
"C6","GO:0042989",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0042989",0.805779520657471
"C6","GO:0043289",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0043289",0.805779520657471
"C6","GO:0044209",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0044209",0.805779520657471
"C6","GO:0045324",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0045324",0.805779520657471
"C6","GO:0071218",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0071218",0.805779520657471
"C6","GO:0071786",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0071786",0.805779520657471
"C6","GO:0080162",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:0080162",0.805779520657471
"C6","GO:1905182",1,768,3,13936,0.156394141110051,0.317282366734759,"GO:1905182",0.805779520657471
"C6","GO:0006796",2,768,13,13936,0.158489622882654,0.317879754986233,"GO:0006796",0.799999167972016
"C6","GO:0007131",2,768,13,13936,0.158489622882654,0.317879754986233,"GO:0007131",0.799999167972016
"C6","GO:0010411",2,768,14,13936,0.178491153641444,0.352816519275738,"GO:0010411",0.748383303472857
"C6","GO:0009873",3,768,27,13936,0.184226377686529,0.352816519275738,"GO:0009873",0.734648187040644
"C6","GO:0051301",3,768,27,13936,0.184226377686529,0.352816519275738,"GO:0051301",0.734648187040644
"C6","GO:0000103",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0000103",0.692729756371
"C6","GO:0002182",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0002182",0.692729756371
"C6","GO:0006081",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0006081",0.692729756371
"C6","GO:0006123",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0006123",0.692729756371
"C6","GO:0006474",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0006474",0.692729756371
"C6","GO:0006556",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0006556",0.692729756371
"C6","GO:0006657",1,768,4,13936,0.202894485589164,0.352816519275738,"GO:0006657",0.692729756371
