"group_id","biological_replicate","domain","spot_count","library_size","TMM_normalization_factor","effective_library_size","PC1","PC2"
"VR02__co_v","VR02","co_v",34,1172325,0.941015622710031,1103176.13989354,105.668280766528,120.075149975789
"VR03__SAM","VR03","SAM",7,143773,1.01515777055046,145952.278145351,-109.711876280692,-76.3210223683658
"VR03__P1_P2","VR03","P1_P2",56,1205119,0.944413874500904,1138131.10402466,16.0569162611407,-63.1089538129327
"VR03__P3","VR03","P3",63,1244537,0.95291593247566,1185939.13585546,38.0111508791564,-40.4051765024397
"VR03__P4","VR03","P4",148,2750357,0.925906765299721,2546574.15328944,55.2832379083608,-20.7968689693764
"VR03__P5","VR03","P5",246,4912136,0.856099475972233,4205277.05550434,75.4064883908871,17.1225844549409
"VR03__coleoptile","VR03","coleoptile",1083,15992325,0.663931440275622,10617807.3706058,135.74485420821,116.691310348185
"VR03__co_v","VR03","co_v",38,859973,0.908739455807779,781491.396029384,100.458289608786,134.239402944578
"VR04__SAM","VR04","SAM",10,40612,1.3325497185497,54117.5091697403,-275.469971767305,15.8265780063202
"VR04__P1_P2","VR04","P1_P2",48,545134,1.01738173531113,554609.374897097,-9.09837900806304,-72.8075456880577
"VR04__P3","VR04","P3",86,1132933,1.02536490760476,1161669.74086738,27.6089411911608,-54.7360400912735
"VR04__P4","VR04","P4",183,2761752,0.969365812422149,2677147.97118849,48.1516166091151,-30.6160308687961
"VR04__P5","VR04","P5",279,5383169,0.893726408910653,4811080.29892915,74.7685806986043,10.3116511293351
"VR04__coleoptile","VR04","coleoptile",1161,16610172,0.6219889580389,10331343.5751269,135.834762291701,108.950121020724
"VR04__co_v","VR04","co_v",46,833947,0.930685027847221,776141.986918106,94.6493564416757,129.017620523538
"DQ01__SAM","DQ01","SAM",1,19476,1.74762434331939,34036.7317104884,-401.378802723226,97.3799600772436
"DQ01__P1_P2","DQ01","P1_P2",30,152810,1.10118409699924,168271.941862455,-88.6444861834306,-92.8591220830151
"DQ01__P3","DQ01","P3",64,483439,1.05159082894554,508380.018754601,-6.44198091636142,-78.6337875848554
"DQ01__P4","DQ01","P4",135,1492236,1.00011266178717,1492404.11797464,30.3065173343913,-52.3735462923095
"DQ01__P5","DQ01","P5",217,3135951,0.952665954104081,2987513.75143865,56.4081458036977,-17.5215333032402
"DQ01__coleoptile","DQ01","coleoptile",904,11919262,0.725254089984758,8644493.51509991,123.39263852104,85.5788597627885
"DQ01__co_v","DQ01","co_v",32,525769,0.968368458663468,509138.116143033,73.9323060373165,94.6597589089563
"DQ02__SAM","DQ02","SAM",4,29949,1.49462161200468,44762.4226579282,-347.985284477716,28.0759647032887
"DQ02__P1_P2","DQ02","P1_P2",53,492715,1.02353307216607,504310.097652306,-30.6302745567758,-96.9648144308832
"DQ02__P3","DQ02","P3",76,737722,1.04254057567294,769105.11856659,2.85823758248956,-76.9725209516769
"DQ02__P4","DQ02","P4",133,1711392,1.01507861285722,1737197.41741495,28.0241578069584,-55.5338120914289
"DQ02__P5","DQ02","P5",228,3878043,0.940853713292141,3648671.1568566,56.539438263483,-14.3003814361811
"DQ02__coleoptile","DQ02","coleoptile",1068,13791849,0.694025165089395,9571890.279113,122.484899502376,82.2411142167076
"DQ02__co_v","DQ02","co_v",45,929556,0.93950104829565,873318.836449511,85.6216148232975,85.0292322242729
"DQ03__SAM","DQ03","SAM",4,23874,1.63966724460099,39145.4157976041,-375.061862170168,53.5574981170482
"DQ03__P1_P2","DQ03","P1_P2",41,340970,1.0536313929863,359256.696066538,-40.8670377073136,-94.2556012378967
"DQ03__P3","DQ03","P3",65,702309,1.05029916228237,737634.554363369,-0.348113537577675,-81.4786091645939
"DQ03__P4","DQ03","P4",89,820457,1.02912817795003,844355.417496352,10.5509703297994,-63.4701278162521
"DQ03__P5","DQ03","P5",186,2620609,0.981913574938282,2573211.55170544,45.780912996024,-24.9631735630698
"DQ03__coleoptile","DQ03","coleoptile",874,12239772,0.713873025213179,8737643.06555956,120.113960755719,79.2260053674674
"DQ03__co_v","DQ03","co_v",53,1003193,0.964340866259623,967420.00664559,90.9126940222459,80.3918994503414
"DQ04__SAM","DQ04","SAM",3,13789,1.94669581309455,26842.9885667607,-472.006010370098,143.479731258049
"DQ04__P1_P2","DQ04","P1_P2",40,308278,1.02046950994813,314588.29958779,-47.9187539848283,-93.402253180379
"DQ04__P3","DQ04","P3",77,631048,1.03472128935517,652958.800205004,0.384848337308675,-75.0767468661552
"DQ04__P4","DQ04","P4",120,1145779,1.01023217684563,1157502.81335401,24.1965297533243,-55.3247765034349
"DQ04__P5","DQ04","P5",216,3466965,0.968645760489695,3358260.94901615,50.3211030510713,-22.8495171590445
"DQ04__coleoptile","DQ04","coleoptile",970,12953965,0.741135368573621,9600641.62476478,115.886695533799,73.0954229974452
"DQ04__co_v","DQ04","co_v",47,861300,0.960528941705281,827303.577490759,75.0809292045901,79.1455528058533
"DQ06__SAM","DQ06","SAM",3,18112,1.85271225934026,33556.3244411709,-414.021083595725,107.769214863813
"DQ06__P1_P2","DQ06","P1_P2",45,410358,1.03767946352531,425820.069293319,-28.2261026894303,-83.7127619725462
"DQ06__P3","DQ06","P3",62,593615,1.05887784131683,628565.769773287,8.07158419065716,-64.0406503475956
"DQ06__P4","DQ06","P4",152,1766885,1.004021360116,1773990.28086856,32.4607291183655,-49.9830191159169
"DQ06__P5","DQ06","P5",228,3594780,0.969837210250665,3486351.40666488,56.8451851697163,-11.7637385654605
"DQ06__coleoptile","DQ06","coleoptile",945,14607990,0.718088144981606,10489824.4410099,128.733036290713,96.9973133649367
"DQ06__co_v","DQ06","co_v",40,852832,0.943018263813336,804236.151964455,86.4418036540715,106.444528724499
"DQ07__SAM","DQ07","SAM",6,32949,1.53561198429711,50596.8792706054,-296.893019362895,26.4624843960677
"DQ07__P1_P2","DQ07","P1_P2",69,377387,1.11634828711821,421295.331030681,-11.0160061121969,-68.6915532643093
"DQ07__P3","DQ07","P3",87,656777,1.11101842118124,729691.345608149,10.3707616312113,-64.2993966943657
"DQ07__P4","DQ07","P4",164,1388133,1.083863448624,1504546.62052877,34.3476369015436,-42.9376302929249
"DQ07__P5","DQ07","P5",259,2910866,1.03918069586562,3024915.75545156,55.2498482276133,-14.473137500461
"DQ07__coleoptile","DQ07","coleoptile",1144,15695957,0.747075332436472,11726062.2936836,130.222209594905,93.6122612774222
"DQ07__co_v","DQ07","co_v",55,971386,0.927043968591021,900517.532473758,90.4846306900104,103.698489831249
"DQ08__SAM","DQ08","SAM",2,6182,3.25337998914783,20112.3950929119,-542.482391075062,220.204879951223
"DQ08__P1_P2","DQ08","P1_P2",33,241510,1.12031504002067,270567.285315392,-48.6984200979203,-86.5149954560107
"DQ08__P3","DQ08","P3",48,429759,1.11692417552248,480008.216748367,-8.45623951644009,-72.3904930963209
"DQ08__P4","DQ08","P4",115,1123522,1.07257209840928,1205058.34914899,25.072307092403,-52.7045724213122
"DQ08__P5","DQ08","P5",272,4953322,1.00751204479622,4990531.57675409,57.4526252683271,-13.5037430380921
"DQ08__coleoptile","DQ08","coleoptile",1081,17922983,0.767505355251873,13755985.4345883,122.164205032499,81.0802981712866
"DQ08__co_v","DQ08","co_v",40,944194,1.00776744113458,951527.971314624,82.0308247623532,86.1809736333846
